#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,38901,"Reintegraments pressupostos tancats,",0,0,0,390010.9
,,0000,39200,Recàrrec per declaració extemporànea sense requerimi.previ,0,0,0,-10.41
,,0000,39903,"Imprevistos,",0,0,0,248127.88
,,0000,39926,Generalitat de Catalunya. Impost estades turístiques.,0,0,0,4600.94
,,0000,45080,"Altres subv.corrents de la Adm.General Generalitat Cataluny,",0,24909.24,24909.24,0
,,0000,46114,Diputació de Barcelona Activitats educatives complementàries,0,0,0,0
,,0000,55002,"Concessions Administratives,,,",1490802.74,0,1490802.74,1490802.74
,,0000,68001,Reintegrament pressupostos tancats (despeses capital),0,942.45,942.45,942.45
,,0000,87000,Per a despeses generals,0,3854137.21,3854137.21,0
,,0000,87010,Per a despeses amb finançament afectat,0,4894514.69,4894514.69,0
,,0000,91301,"Préstecs rebuts mig i llarg termini fora sector públic,",0,6527735.45,6527735.45,6227708.03
,,0000,10000,Impost sobre la renda de les persones físiques,1253481.96,0,1253481.96,1223788.95
,,0000,11300,Impost Bens Immobles Nat. Urba,17856200,0,17856200,17775835.13
,,0000,11500,Impost Vehicles Tracc. Mecanica,4620000,0,4620000,4437131.16
,,0000,11600,Impost sobre l'increment del valor dels terrenys,1870000,0,1870000,3626121.69
,,0000,13000,Impost sobre Activitats Econòmiques Empresarials,1865000,0,1865000,2200816.63
,,0000,21000,Impost sobre el valor afegit,1881272.16,0,1881272.16,1987500.21
,,0000,22000,Impost sobre l'alcohol i begudes derivades,28524.12,0,28524.12,28431.85
,,0000,22001,Impost sobre la cervesa,9846.12,0,9846.12,10003.3
,,0000,22003,Impost sobre les labors del tabac,189147.36,0,189147.36,172896.36
,,0000,22004,Impost sobre hidrocarburs,298358.64,0,298358.64,261725.44
,,0000,22006,Impost sobre productes intermedis,672.84,0,672.84,685.18
,,0000,29000,Impost Construccions Intstal.lacions i obres,252439.46,0,252439.46,176607.96
