#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Disponible de Remanentes por aplicación
,,1001,91201,1000000,Retribucions  Bàsiques Càrrecs Electes,736670.15,0,736670.15,388142.38,0
,,1001,91201,1600000,Seguretat Social,182690.64,0,182690.64,89511.59,0
,,1100,15120,2260217,Gestió i publicitat Llei de Barrris,43000,0,43000,3885.64,0
,,1100,49100,2260300,Anuncis oficials,1200,0,1200,0,0
,,1100,49100,2269900,Altres despeses,5500,0,5500,233.53,0
,,1100,49100,2270600,Estudis i treballs tècnics,24000,0,24000,12361.68,0
,,1100,49100,4890901,Quota CCMEUR,500,0,500,454.37,0
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,26883.6,0,26883.6,24230.74,0
,,1100,92001,1100100,Retribucions Complementàries Eventual Ga,107116.4,0,107116.4,86000.16,0
,,1100,92001,1200100,SOUS DEL GRUP A2.,0,0,0,9359.92,0
,,1100,92001,1200600,TRIENNIS.,0,0,0,1357.75,0
,,1100,92001,1210000,COMPLEMENT DE DESTINACIÓ.,0,0,0,3609.73,0
,,1100,92001,1210100,COMPLEMENT ESPECÍFIC.,0,0,0,8432.74,0
,,1100,92001,1300000,Retribucions bàsiques personal laboral,33535.96,0,33535.96,19489.79,0
,,1100,92001,1300200,Altres retribucions personal laboral,14332.92,0,14332.92,9792.17,0
,,1100,92001,1600000,Seguretat Social,40863,0,40863,33643.14,0
,,1100,92200,4660100,Transferència a la Federació de Municipis de Catalunya,25000,-5564.43,19435.57,19435.57,0
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,18064.94,0,18064.94,10283.12,0
,,1110,91202,1100100,Retribucions Complementàries Eventual Ga,46558.2,0,46558.2,26735.24,0
,,1110,91202,1600000,Seguretat Social,13941.48,0,13941.48,7179.78,0
,,1110,91204,4890500,Transferències als grups municipals,77700,0,77700,77699.92,0
,,1120,49101,4670200,Transferències a Localret,15000,0,15000,13683.15,0
,,1120,92003,1200400,Retribució sou base funcionari C2,10344.95,0,10344.95,5774.83,0
,,1120,92003,1200600,Triennis,922.08,0,922.08,507,0
,,1120,92003,1210000,Complement Destí  funcionaris,3152.16,0,3152.16,1841.39,0
,,1120,92003,1210100,Complement específic funcionaris,7175.64,0,7175.64,4191.76,0
,,1120,92003,1300000,Retribucions bàsiques personal laboral,171893.32,0,171893.32,98341.83,0
,,1120,92003,1300100,Hores extraordinàries,0,0,0,464.29,0
,,1120,92003,1300200,Altres retribucions personal laboral,45571.56,0,45571.56,31459.44,0
,,1120,92003,1310000,Retribucions personal Laboral eventual,62051,0,62051,32481.01,0
,,1120,92003,1510000,Gratificacions treballs extraordinaris,0,0,0,37.35,0
,,1120,92003,1600000,Seguretat Social,98131.01,0,98131.01,48810.53,0
,,1120,92003,1620900,Altres despeses socials,0,0,0,1218.8,0
,,1120,92003,2130100,Manteniment instal.lacions,2000,0,2000,0,0
,,1120,92003,2200000,Material d'oficina,20000,0,20000,9660.45,0
,,1120,92003,2200100,"Premsa, revistes, llibres i altres publicacions",33500,0,33500,12760.05,0
,,1120,92003,2200200,Material informàtic,5000,0,5000,0,0
,,1120,92003,2260200,Publicitat i propaganda,62500,25000,87500,46373.7,0
,,1120,92003,2260300,Anuncis oficials,1000,0,1000,0,0
,,1120,92003,2269900,Altres despeses,6000,0,6000,6307.72,0
,,1120,92003,2270600,Estudis i treballs tècnics,20000,0,20000,2537.98,0
,,1200,91203,1200300,Retribució sou base funcionari C1,78266.76,0,78266.76,49932.28,0
,,1200,91203,1200600,Triennis,10757.16,0,10757.16,6943.77,0
,,1200,91203,1210000,Complement Destí  funcionaris,24663.48,0,24663.48,13247.47,0
,,1200,91203,1210100,Complement específic funcionaris,72889.68,0,72889.68,38127.37,0
,,1200,91203,1210300,Altres complements funcionaris,2794.08,0,2794.08,4110.3,0
,,1200,91203,1300000,Retribucions bàsiques personal laboral,67979.84,0,67979.84,38759.24,0
,,1200,91203,1300200,Altres retribucions personal laboral,24518.4,0,24518.4,14266.23,0
,,1200,91203,1510000,Gratificacions treballs extraordinaris,0,0,0,288.18,0
,,1200,91203,1600000,Seguretat Social,75364.24,0,75364.24,36125.29,0
,,1200,91203,1620900,Altres despeses socials,0,0,0,775.6,0
,,1200,91203,2230000,Transports,400,0,400,39.53,0
,,1200,91203,2260100,Atencions protocolàries,7200,0,7200,722.84,0
,,1200,91203,2260900,Actes i exposicions,16000,5564.43,21564.43,20334.43,0
,,1200,91203,2269900,Altres despeses,19800,26090,45890,14010.37,0
,,1200,91203,4890300,Transferències entitats,0,8000,8000,0,0
,,1200,92400,4890300,TRANSFERENCIES ENTITATS,0,5000,5000,1500,0
,,1210,91203,1100000,Retribucions Bàsiques Eventual Gabinets,34907.04,0,34907.04,21412.98,0
,,1210,91203,1100100,Retribucions Complementàries Eventual Ga,58649.44,0,58649.44,34041.11,0
,,1210,91203,1200300,Retribució sou base funcionari C1,49654.06,0,49654.06,28000.68,0
,,1210,91203,1200400,Retribució sou base funcionari C2,12163.54,0,12163.54,6693.08,0
,,1210,91203,1200600,Triennis,8472.72,0,8472.72,4949.7,0
,,1210,91203,1210000,Complement Destí  funcionaris,17939.52,0,17939.52,10479.71,0
,,1210,91203,1210100,Complement específic funcionaris,39594.48,0,39594.48,24545.89,0
,,1210,91203,1210300,Altres complements funcionaris,15198.72,0,15198.72,8874.29,0
,,1210,91203,1300000,Retribucions bàsiques personal laboral,163793.92,0,163793.92,93874.15,0
,,1210,91203,1300200,Altres retribucions personal laboral,18243.84,0,18243.84,9171.21,0
,,1210,91203,1510000,Gratificacions treballs extraordinaris,0,0,0,96.06,0
,,1210,91203,1600000,Seguretat Social,125864.21,0,125864.21,57521,0
,,1210,91203,1620900,Altres despeses socials,0,0,0,0,0
,,1500,32609,2269900,Altres despeses-Ciutat Universitària,15000,0,15000,10328.84,0
,,1500,92300,2269900,Altres despeses-transparència,5000,0,5000,5084.47,0
,,1500,92400,1300000,Retribucions bàsiques personal laboral,31154.84,0,31154.84,17827.35,0
,,1500,92400,1300200,Altres retribucions personal laboral,3756.6,0,3756.6,2194.48,0
,,1500,92400,1600000,Seguretat social,11048.52,0,11048.52,5507.28,0
,,1500,92400,4890100,Altres transferències (beques estudis PAM),14000,0,14000,5575,0
,,1500,92402,2260900,Actes i exposicions,0,8962.17,8962.17,0,0
,,1500,92402,2270600,Estudis i treballs tècnics,0,6000,6000,200,0
,,1500,92403,1300000,Retribucions bàsiques personal laboral,31552.62,0,31552.62,18128.46,0
,,1500,92403,1300200,Altres retribucions personal laboral,3756.6,0,3756.6,2121.44,0
,,1500,92403,1600000,Seguretat social,11188.56,0,11188.56,5055.04,0
,,1500,92403,2269914,Dinamització de processos,0,65000,65000,25716.48,0
,,1500,92403,2269999,Despeses subvencions EN ESPÈCIE,0,0,0,568.8,0
,,1500,92404,2269900,Altres despeses-procès participatiu PAM,26000,-962.17,25037.83,9013.13,0
,,1500,92405,2269900,Altres despeses-regidories de districtes,10000,0,10000,5698.51,0
,,1600,23109,1300000,Retribucions bàsiques personal laboral,63946.64,0,63946.64,36695.83,0
,,1600,23109,1300200,Altres retribucions personal laboral,7733.76,0,7733.76,4412.24,0
,,1600,23109,1600000,Seguretat social,22749.84,0,22749.84,11374.91,0
,,1600,23109,2200100,"Premsa, revistes, llibres i altres publicacions",3000,0,3000,34,0
,,1600,23109,2230000,Transports,0,0,0,8458.56,0
,,1600,23109,2260900,Actes i exposicions,30000,28000,58000,7453.88,0
,,1600,23109,2269900,Programa joves i cooperació i altres despeses,38000,0,38000,6795.63,0
,,1600,23109,2270600,Estudis i treballs tècnics,17000,0,17000,19996.03,0
,,1600,23109,2279909,Altres treballs realitzats per empreses i profesionals,0,12000,12000,33035.17,0
,,1600,23109,2279910,Contractes activitats artístiques i culturals,0,0,0,1245.2,0
,,1600,23109,2312000,Despeses de locomoció del personal no directiu,0,0,0,152.14,0
,,1600,23109,4890100,"Altres transferències, ajuts i emergències",185000,-12000,173000,14928.61,0
,,1900,92025,1200000,Retribucions bàsiques funcionari A1,18532.52,0,18532.52,10397.62,0
,,1900,92025,1200600,Trienis,2067.84,0,2067.84,1208,0
,,1900,92025,1210000,Complement destí funcionaris,6622.56,0,6622.56,3868.68,0
,,1900,92025,1210100,Complement específic funcionaris,14351.4,0,14351.4,8383.6,0
,,1900,92025,1300000,Retribucions bàsiques personal laboral,75209.8,0,75209.8,47707.86,0
,,1900,92025,1300200,Altres retribucions personal laboral,17121.6,0,17121.6,5038.31,0
,,1900,92025,1600000,Seguretat social,39310.92,0,39310.92,6819.49,0
,,1900,92025,2269900,Altres despeses (web municipal),2000,9000,11000,2253.26,0
,,2000,15000,4490300,"Transferències a Gramepark, SA",1500000,0,1500000,929800.8,0
,,2000,15000,7490000,Transferències de capital,2000000,-157300,1842700,1442932.43,0
,,2000,23119,4890600,Transferències a les famílies-Majors 65 anys,25000,0,25000,0,0
,,2000,23120,4890600,Transferències a les famílies-Monoparentals,25000,0,25000,0,0
,,2000,23122,4890600,Transferències a les famílies-Aturats,250000,0,250000,0,0
,,2000,24100,4490100,"Transferències a Grameimpuls, SA",1070000,0,1070000,1070000,0
,,2000,24100,4490101,"Transferències a Grameimpuls, SA (Llei Barris/ cofinançament",450000,0,450000,318195.02,0
,,2000,24100,4490200,Fons Pla d'ocupació,700000,0,700000,0,0
,,2000,24101,4490100,Transferències a GrameImpuls,0,8595378.33,8595378.33,3740311.17,659611.07
,,2000,24101,7490002,Transferències a Grameimpuls SA,0,512000,512000,0,0
,,2000,32606,4110200,Transferència Patronat Municipal de la Música,368000,30338,398338,306338,0
