#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
,,1001,91201,1000000,Retribucions  Bàsiques Càrrecs Electes,862874.18,0,862874.18,730128.4
,,1001,91201,1600000,Seguretat Social,238962.36,0,238962.36,187060.22
,,1001,91201,1600900,MUFACE,1484.4,0,1484.4,0
,,1100,15120,2260217,Gestió i publicitat Llei de Barrris,43000,99746.22,142746.22,94349.31
,,1100,23113,2279909,Contractes desenvolupament serveis,16000,0,16000,0
,,1100,49100,2260300,Anuncis oficials,1200,0,1200,0
,,1100,49100,2269900,Altres despeses,6000,0,6000,8209.1
,,1100,49100,2270600,Estudis i treballs tècnics,39000,18000,57000,53343.69
,,1100,92001,1300000,RETRIBUCIONS BÀSIQUES.,0,0,0,1979.43
,,1100,92001,1300200,Altres remuneracions personal laboral fix,0,0,0,598.15
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,13308.6,0,13308.6,23327
,,1100,92001,1100100,Retribucions Complementàries Eventual Ga,56691.4,0,56691.4,84970.81
,,1100,92001,1600000,Seguretat Social,13803.84,0,13803.84,24441.91
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,17524.24,0,17524.24,17296.53
,,1110,91202,1100100,Retribucions Complementàries Eventual Ga,46691.4,0,46691.4,47148.34
,,1110,91202,1300000,Retribucions bàsiques personal laboral,25592.12,0,25592.12,25592.12
,,1110,91202,1300200,Altres retribucions personal laboral,13409.88,0,13409.88,13409.88
,,1110,91202,1600000,Seguretat Social,26262.6,0,26262.6,26268.72
,,1110,91204,4890500,Transferències als grups municipals,77700,0,77700,73972.81
,,1120,49101,4670200,Transferències a Localret,15000,0,15000,14006.89
,,1120,92003,1610400,Indemnització al personal lab. per jubilacions anticipades.,0,0,0,2139.22
,,1120,92003,1620900,Altres despeses socials,0,0,0,329.11
,,1120,92003,1200000,Retribució sou base funcionari A1,18322.55,0,18322.55,18322.55
,,1120,92003,1200400,Retribució sou base funcionari C2,10224.7,0,10224.7,10224.7
,,1120,92003,1200600,Triennis,2437.25,0,2437.25,2437.25
,,1120,92003,1210000,Complement Destí  funcionaris,9677.76,0,9677.76,9677.76
,,1120,92003,1210100,Complement específic funcionaris,21314.28,0,21314.28,21314.28
,,1120,92003,1300000,Retribucions bàsiques personal laboral,246027.43,0,246027.43,232771.98
,,1120,92003,1300200,Altres retribucions personal laboral,63970.44,0,63970.44,62712.96
,,1120,92003,1310000,Retribucions personal Laboral temporal,60983.11,0,60983.11,60983.11
,,1120,92003,1600000,Seguretat Social,134501.26,0,134501.26,129799.2
,,1120,92003,2130100,Manteniment instal.lacions,1700,0,1700,1692.24
,,1120,92003,2200000,Material d'oficina,20000,0,20000,17172.34
,,1120,92003,2200100,"Premsa, revistes, llibres i altres publicacions",1000,0,1000,12475.18
,,1120,92003,2200200,Material informàtic,30000,0,30000,0
,,1120,92003,2260200,Publicitat i propaganda,63000,5000,68000,97032.88
,,1120,92003,2260300,Anuncis oficials,1000,0,1000,0
,,1120,92003,2269900,Altres despeses,5400,18000,23400,32158.95
,,1120,92003,2270600,Estudis i treballs tècnics,28500,0,28500,6725.99
,,1200,91203,1310000,Retribucions personal laboral eventual,0,0,0,3383.6
,,1200,91203,1200300,Retribució sou base funcionari C1,77992.05,0,77992.05,70872.52
,,1200,91203,1200600,Triennis,10174.86,0,10174.86,9491.22
,,1200,91203,1210000,Complement Destí  funcionaris,25496.04,0,25496.04,22175.05
,,1200,91203,1210100,Complement específic funcionaris,74507.64,0,74507.64,68041.51
,,1200,91203,1210300,Altres complements funcionaris,5634,0,5634,3722.32
,,1200,91203,1300000,Retribucions bàsiques personal laboral,54912.24,0,54912.24,70260.67
,,1200,91203,1300200,Altres retribucions personal laboral,10084.56,0,10084.56,16549.33
,,1200,91203,1600000,Seguretat Social,68561.98,0,68561.98,72448.53
