#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials
,,1001,91201,1000000,Retribucions  Bàsiques Càrrecs Electes,736670.06
,,1001,91201,1600000,Seguretat Social,192638.4
,,1100,15120,2260217,Gestió i publicitat Programes subvencionats,88000
,,1100,49100,2260300,Anuncis oficials,1200
,,1100,49100,2269900,Altres despeses,5500
,,1100,49100,2270600,Estudis i treballs tècnics,29000
,,1100,49100,4890901,Quota CCMEUR,500
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,54347.6
,,1100,92001,1100100,Retribucions Complementàries Eventual Ga,187695.92
,,1100,92001,1200100,Retribució sou base funcionari A2,16931.04
,,1100,92001,1200600,Triennis,2348.04
,,1100,92001,1210000,Complement Destí  funcionaris,6241.08
,,1100,92001,1210100,Complement específic funcionaris,14579.76
,,1100,92001,1300000,Retribucions bàsiques personal laboral,34827.28
,,1100,92001,1300200,Altres retribucions personal laboral,17258.52
,,1100,92001,1600000,Seguretat Social,80912.76
,,1100,92200,4660100,Transferència a la Federació de Municipis de Catalunya,20000
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,18502.2
,,1110,91202,1100100,Retribucions Complementàries Eventual Ga,46423.68
,,1110,91202,1600000,Seguretat Social,14359.56
,,1110,91204,4890500,Transferències als grups municipals,77700
,,1120,49101,4670200,Transferències a Localret,15000
,,1120,92003,1200400,Retribució sou base funcionari C2,10466.58
,,1120,92003,1200600,Triennis,1096.2
,,1120,92003,1210000,Complement Destí  funcionaris,3183.72
,,1120,92003,1210100,Complement específic funcionaris,7247.28
,,1120,92003,1300000,Retribucions bàsiques personal laboral,174377.07
,,1120,92003,1300200,Altres retribucions personal laboral,55483.2
,,1120,92003,1310000,Retribucions personal Laboral eventual,63394.47
,,1120,92003,1600000,Seguretat Social,99030.98
,,1120,92003,2130100,Manteniment instal.lacions,2000
,,1120,92003,2200000,Material d'oficina,20000
,,1120,92003,2200100,"Premsa, revistes, llibres i altres publicacions",33500
,,1120,92003,2200200,Material informàtic,5000
,,1120,92003,2260200,Publicitat i propaganda,102500
,,1120,92003,2260300,Anuncis oficials,1000
,,1120,92003,2269900,Altres despeses,6000
,,1120,92003,2270600,Estudis i treballs tècnics,20000
,,1200,91203,1200300,Retribució sou base funcionari C1,79119.65
,,1200,91203,1200600,Triennis,11216.61
,,1200,91203,1210000,Complement Destí  funcionaris,24910.68
,,1200,91203,1210100,Complement específic funcionaris,73617.72
,,1200,91203,1210300,Altres complements funcionaris,2822.16
,,1200,91203,1300000,Retribucions bàsiques personal laboral,68723.31
,,1200,91203,1300200,Altres retribucions personal laboral,24763.44
,,1200,91203,1600000,Seguretat Social,76430.95
,,1200,91203,2230000,Transports,400
,,1200,91203,2260100,Atencions protocolàries,7200
,,1200,91203,2260900,Actes i exposicions,20000
,,1200,91203,2269900,Altres despeses,19800
,,1200,92400,4890300,Transferències entitats,15000
,,1210,91203,1100000,Retribucions Bàsiques Eventual Gabinets,35326.97
,,1210,91203,1100100,Retribucions Complementàries Eventual Ga,61713.99
,,1210,91203,1200000,Retribució sou base funcionari A1,22684.72
,,1210,91203,1200300,Retribució sou base funcionari C1,50711.06
,,1210,91203,1200400,Retribució sou base funcionari C2,12285.64
,,1210,91203,1200600,Triennis,11200.26
,,1210,91203,1210000,Complement Destí  funcionaris,18119.4
,,1210,91203,1210100,Complement específic funcionaris,42847.2
,,1210,91203,1210300,Altres complements funcionaris,16317.72
,,1210,91203,1300000,Retribucions bàsiques personal laboral,165966.4
,,1210,91203,1300200,Altres retribucions personal laboral,19200.48
,,1210,91203,1600000,Seguretat Social,137726.31
,,1500,32609,2269900,Altres despeses-Ciutat Universitària,15000
,,1500,92300,2269900,Altres despeses-transparència,20000
,,1500,92400,1300000,Retribucions bàsiques personal laboral,31467.22
,,1500,92400,1300200,Altres retribucions personal laboral,3794.16
,,1500,92400,1600000,Seguretat social,11124.84
,,1500,92400,4890100,Altres transferències (beques estudis PAM),14000
,,1500,92402,2260900,Actes i exposicions,8000
,,1500,92402,2270600,Estudis i treballs tècnics,6000
,,1500,92403,1300000,Retribucions bàsiques personal laboral,32169.24
,,1500,92403,1300200,Altres retribucions personal laboral,3794.16
,,1500,92403,1600000,Seguretat social,11339.72
,,1500,92403,2269914,Dinamització processos,130000
,,1500,92404,2269900,Altres despeses-procès participatiu PAM,26000
,,1500,92405,2269900,Altres despeses-regidories de districtes,10000
,,1600,23109,1300000,Retribucions bàsiques personal laboral,65065.64
,,1600,23109,1300200,Altres retribucions personal laboral,7811.04
,,1600,23109,1600000,Seguretat social,22749.84
,,1600,23109,2200100,"Premsa, revistes, llibres i altres publicacions",3000
,,1600,23109,2260900,Actes i exposicions,30000
,,1600,23109,2269900,Programa joves i cooperació i altres despeses,38000
,,1600,23109,2270600,Estudis i treballs tècnics,17000
,,1600,23109,4890100,"Altres transferències, ajuts i emergències",239800
,,1900,92025,1200000,Retribucions bàsiques funcionari A1,18744.83
,,1900,92025,1200600,Trienis,2132.48
,,1900,92025,1210000,Complement destí funcionaris,6688.8
,,1900,92025,1210100,Complement específic funcionaris,14494.8
,,1900,92025,1300000,Retribucions bàsiques personal laboral,75963.54
,,1900,92025,1300200,Altres retribucions personal laboral,17292.96
,,1900,92025,1600000,Seguretat social,39498.1
,,1900,92025,2269900,Altres despeses (web municipal),26000
,,2000,15000,4490300,"Transferències a Gramepark, SA",1505000
,,2000,15000,7490000,Transferències de capital,3119622.72
,,2000,23119,4890600,Transferències a les famílies-Majors 65 anys,25000
,,2000,23120,4890600,Transferències a les famílies-Monoparentals,25000
,,2000,23122,4890600,Transferències a les famílies-Aturats,250000
,,2000,24100,4400200,Fons Pla d'ocupació,800000
,,2000,24100,4490100,"Transferències a Grameimpuls, SA",1470000
,,2000,24100,4490101,"Transferències a Grameimpuls, SA (cofinançament AMB, etc)",500000
,,2000,32606,4110200,Transferència Patronat Municipal de la Música,430831.1
,,2000,32609,2279913,"Convenis (UNED, Torribera)",288000
,,2000,92901,5000000,Fons contingència LOEPSF 2/2012,500000
,,2000,93100,2200100,"Premsa, revistes i llibres",2000
,,2000,93100,2260300,Anuncis oficials,500
,,2000,93100,2269900,Altres despeses,20000
,,2000,93100,2270600,Estudis i treballs tècnics,2000
,,2000,93100,4890100,Altres transferències,27000
,,2000,93101,1100000,Retribucions Bàsiques Eventual Gabinets,16879.34
,,2000,93101,1100100,Retribucions Complementàries Eventual Ga,50423.68
,,2000,93101,1600000,Seguretat Social,14359.56
,,2000,94301,4640200,Transferències a AMB  PMTE,3119000
,,2000,94301,4640100,Transferències a AMB PAMMU,1329116.32
,,2010,93101,1200300,Retribució sou base funcionari C1,25393.3
,,2010,93101,1200600,Triennis,5096.85
,,2010,93101,1210000,Complement Destí  funcionaris,9665.52
,,2010,93101,1210100,Complement específic funcionaris,16986.12
,,2010,93101,1300000,Retribucions bàsiques personal laboral,25699.28
,,2010,93101,1600000,Seguretat Social,22351.88
,,2100,43200,1300000,Retribucions bàsiques personal laboral,26475.78
,,2100,43200,1300200,Altres retribucions personal laboral,13679.52
,,2100,43200,1600000,Seguretat social,12720.84
,,2100,43200,2269900,Altres despeses,85000
,,2200,43000,1200000,Retribucions sou base A1,19942.96
,,2200,43000,1200100,Retribucions sou base A2,15582.66
,,2200,43000,1200300,Retribucions sou base C1,12805.58
,,2200,43000,1200600,Trienis,8922.84
,,2200,43000,1210000,Complement destí funcionaris,15255.48
,,2200,43000,1210100,Complement específic funcionaris,38634.84
,,2200,43000,1300000,Retribucions bàsiques personal laboral,60409.25
,,2200,43000,1300200,Altres retribucions personal laboral,19245.36
,,2200,43000,1600000,Seguretat social,51142.22
,,2200,43130,2270100,Seguretat MVNS,75000
,,2200,43200,2269900,Altres despeses,80000
,,2200,43300,2260300,Anuncis oficials,2000
,,2200,43300,2269900,Altres despeses,30000
,,2200,43300,2279900,Altres treballs realitzats per empreses i professionals,100000
,,2200,43300,4890100,Altres tranferències,80000
,,2300,93202,1200000,Retribució sou base funcionari A1,22038.4
,,2300,93202,1200100,Retribució sou base funcionari A2,16461.72
,,2300,93202,1200300,Retribució sou base funcionari C1,123814.03
,,2300,93202,1200400,Retribució sou base funcionari C2,22254.59
,,2300,93202,1200600,Triennis,25422.21
,,2300,93202,1210000,Complement Destí  funcionaris,64740.72
,,2300,93202,1210100,Complement específic funcionaris,140044.56
,,2300,93202,1210300,Altres complements funcionaris,4580.28
,,2300,93202,1300000,Retribucions bàsiques personal laboral,27118.66
,,2300,93202,1300200,Altres retribucions personal laboral,10426.32
,,2300,93202,1600000,Seguretat Social,115814.03
,,2300,93202,2260300,Anuncis oficials,1000
,,2300,93202,2269900,Altres despeses (Registre de la Propietat),4000
,,2400,23108,1200000,Retribució sou base funcionari A1,9717.46
,,2400,23108,1200100,Retribució sou base funcionari A2,405650.5
,,2400,23108,1200600,Triennis,25589.72
