#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1356000,0,823503.7
,,0000,11300,Impost sobre bens immobles,21214322.72,0,21533366.55
,,0000,11500,Impost vehicles tracció mecànica,4300000,0,4062287.34
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,4100000,0,3593589.27
,,0000,13000,Impost activitats econòmiques empresarials,2000000,0,1674997.02
,,0000,21000,Impost sobre el valor afegit,2400000,0,1823394.86
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,27000,0,16172.16
,,0000,22001,Impost especial sobre la cervesa,10000,0,5431.71
,,0000,22003,Impost especial sobre el tabac,191000,0,146572.32
,,0000,22004,Impost especial sobre hidrocarburs,350000,0,252398.74
,,0000,22006,Impost especial sobre productes intermitjos,900,0,691.37
,,0000,29000,"Impost construccions, instal·lacions i obres",190000,0,199339.17
,,0000,32501,Expedició de documents,50000,0,42233.46
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,10000,0,10622.84
,,0000,33002,Taxa d'estacionament de vehicles en determinades zones,0,0,630
,,0000,33101,Guals i reserves estacionament,601000,0,604926.43
,,0000,33205,"Companyies aigua, llum, gas, tel.",1000000,0,805055.85
,,0000,33501,Taules i cadires,185000,0,216202.2
,,0000,33903,Ocupació de la via pública,390000,0,293080.26
,,0000,33904,Altres taxes per utilització privada de domini públic,0,0,1949.43
,,0000,38901,Reintegraments pressupostos tancats,0,0,167120.7
,,0000,39190,Multes dels serveis,105000,0,129531.07
,,0000,39300,Interessos de demora Generalitat Catalunya,0,0,1109402.62
,,0000,39903,Imprevistos,0,0,13237.15
,,0000,39922,Premi cobrança recàrrec provincial IAE,4400,0,0
,,0000,39924,Indemnitzacions patrimonials-compres i gestió patrimonial,10000,0,316.6
,,0000,42010,Fons complementari de finançament,42000000,0,27785629.52
,,0000,42020,Compensació IAE,1600000,0,1092621.46
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,480000,0,680912.99
,,0000,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,0000,55002,Concessions administratives,0,0,348.32
,,0000,59901,Altres ingressos patrimonials,7500,24400,35412.4
,,0000,87000,per a despeses generals,0,13083760.43,0
,,0000,87010,per a despeses amb finançament afectat,0,6941991.14,0
,,0000,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,0000,91303,Préstecs entitat financera Caixa Est. Catalunya,0,0,0
,,1000,45000,Generalitat-Fons de cooperació local de Catalunya,0,0,0
,,1000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,269722.45,0
,,1000,49100,Mº Economia y Hacienda URBAN,0,18625.59,0
,,1000,79100,Transf.de l'exterior. FONS FEDER,0,0,0
,,1300,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,0,0
,,1300,48000,Fundació INFORM. Programa SEFED,0,0,42076.64
,,1500,46139,Diputació Barcelona.PAM 2016-2017,0,0,4445
,,1500,46402,Subvenció Àrea Metropolitana de Barcelona. Transparència,0,0,0
,,1600,46100,Subvencions Diputació de Barcelona,0,21735,0
,,1600,46121,Diputació Barcelona. Pla biennal de sensibilització .,0,39500,29625
,,1600,46199,Diputació Barcelona. Subvencions,0,0,28000
,,2000,39901,Despeses de publicitat: anuncis licitació-direcció economia,3000,0,7183.16
,,2000,42010,"Participació municiapl en tributs de l'Estat (Man.6,25% PTE)",3119000,0,2056589.31
,,2000,45000,Generalitat-Fons per al Foment del Turisme,6000,0,11295.9
,,2000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,2000,45030,Trans ctes cumpl conv els seus amb C.A en mat d'edució,0,0,0
,,2000,45050,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,2947657.55,2002103.66
,,2000,45060,Altres trans.ctes.en compli.de conv.subscrit amb C.Autonoma,0,0,0
,,2000,45103,Servei d'Ocupació de Catalunya,0,0,0
,,2000,46107,DIBA. Integració sociolaboral persones amb malalties mentals,0,53526.14,40144.61
,,2000,46114,Diputació de Barcelona Activitats educatives complementàries,62831.1,0,30338
,,2000,46124,Diputació.Recull d'activitats suport activitat empresarial,0,161906.2,128047.98
,,2000,46137,Diputació de Barcelona. Foment de l'ocupació,0,93398.2,69613.47
,,2000,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,2000,46199,Diputació Barcelona. Subvencions,0,900112.93,129769.75
,,2000,46400,Subvencions Àrea Metropolitana de Barcelona,0,609116.67,272738.24
,,2000,46502,Consell Comarcal Barcelonès. Foment Ocupació,0,2700.5,0
,,2000,48000,Fundació INFORM. Programa SEFED,0,185609.52,0
,,2000,49000,Subvenció del Fons Social Europeu,0,194769.93,0
,,2000,49100,Subvencions de l'exterior. Fons FEDER,0,33750,0
,,2000,49101,Subvencions de l'exterior. Fons FEDER EDUSI,0,12500,0
,,2000,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,500000,0
,,2000,79100,Subvencions de l'exterior. Fons FEDER EDUSI,0,6873481.15,493500
,,2200,39190,"Altres multes i sancions-Comerç,Consum i Fires",6000,0,2002
,,2200,46129,Diputació Barcelona. Activitats en matèria de consum,1400,0,0
,,2200,46136,Diputació de Barcelona. Dinamització Comerç Local,0,5000,0
,,2200,46154,Diputació de Barcelona. Dinamització mercats municipals,0,2000,0
,,2200,46199,Diputació Barcelona. Subvencions,0,73616.62,80312.5
,,2200,46400,Subvencions Àrea Metropolitana de Barcelona,0,25000,10417
,,2400,39903,Recuperació Seguretat Social,0,233106.7,233106.7
,,2400,51801,Interessos bestretes del personal,5000,0,4751.43
,,2400,83000,Reintegrament crèdits al personal,180000,0,83773.15
,,2430,76126,Diputació. Subvenció espais cardioprotegits,0,3635.5,0
,,2600,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,2600,76117,Diputació de Barcelona. Pla implantació Admn. Electrònica,0,0,-14017.64
,,2600,91303,Préstecs entitat financera  programa de Crèdit Local,150000,0,0
,,2700,42190,D'altres organismes autònoms i agències (INE),0,0,1202.33
,,2700,45060,Generalitat de Catalunya. Processos Electorals,0,50193.85,70277
,,2900,39902,"Gestió recapt.lloguer pisos Pons i Pons, Sanatori i Sardana",2000,0,1246.17
,,2900,39915,Execució de fiances,0,0,0
,,2900,45102,Agència de l'habitatge de Catalunya,0,3600,3600
,,2900,51803,Interessos préstecs pisos  Pons i Pons-Sardana,0,0,0
,,2900,54100,Lloguers,100000,0,80499.5
,,2900,54102,Lloguer pisos Av. Sanatori,29000,0,16071.17
,,2900,54103,Lloguer pisos cr. Pons i Pons - Sardana,9200,0,7607.36
,,2900,55002,Concessions administratives,0,0,180
,,2900,61902,venda altres inversions reals,0,0,100000
,,2900,83101,Reintegrament de préstecs de fora del sector públic a/lt,0,0,7737.12
,,3100,32600,Arrossegament de vehicles,750000,0,361228.69
,,3100,32907,Circulacions especials,0,0,884.04
,,3100,36000,Venda d'efectes inútils,20000,0,39548
,,3100,39120,Multes de trànsit,2712000,0,3286215.85
,,3100,39190,Altres multes i sancions-seguretat ciutadana,6000,0,0
,,5000,39901,Despeses publicitat: anuncis licitació-direcció serv.persone,0,0,0
,,5022,45060,Generalitat. Fitxa 9. transport adaptat,66762.55,0,63424.42
,,5022,46400,AMB- Transport adaptat,257000,0,194730
