#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1310000,0,216456.18
,,0000,11300,Impost sobre bens immobles,22501067.6,0,83176.7
,,0000,11500,Impost vehicles tracció mecànica,4300000,0,3953490.69
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,4100000,0,1829253.77
,,0000,13000,Impost activitats econòmiques empresarials,2000000,0,35252.96
,,0000,21000,Impost sobre el valor afegit,2450000,0,397065.56
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,30000,0,4915.6
,,0000,22001,Impost especial sobre la cervesa,11000,0,1767.3
,,0000,22003,Impost especial sobre el tabac,192000,0,31853.84
,,0000,22004,Impost especial sobre hidrocarburs,360000,0,59756.52
,,0000,22006,Impost especial sobre productes intermitjos,900,0,136.94
,,0000,29000,"Impost construccions, instal·lacions i obres",190000,0,102779.87
,,0000,32501,Expedició de documents,50000,0,16424.9
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,10200,0,823.6
,,0000,33002,Taxa d'estacionament de vehicles en determinades zones,0,0,630
,,0000,33101,Guals i reserves estacionament,613020,0,600388.43
,,0000,33205,"Companyies aigua, llum, gas, tel.",1000000,0,262419.32
,,0000,33501,Taules i cadires,188700,0,194414.56
,,0000,33903,Ocupació de la via pública,397800,0,297966.27
,,0000,33904,Altres taxes per utilització privada de domini públic,0,0,2058.96
,,0000,38901,Reintegraments pressupostos tancats,0,0,22607.78
,,0000,39190,Multes dels serveis,10000,0,45402
,,0000,39300,Interessos de demora Generalitat Catalunya,0,0,0
,,0000,39903,Imprevistos,0,0,2651.7
,,0000,39922,Premi cobrança recàrrec provincial IAE,4400,0,0
,,0000,39924,Indemnitzacions patrimonials,10000,0,0
,,0000,42010,Fons complementari de finançament,43000000,0,7096064.28
,,0000,42020,Compensació IAE,1700000,0,278794.22
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,481000,0,0
,,0000,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,0000,55002,Concessions administratives,0,0,275
,,0000,59901,Altres ingressos patrimonials,15000,0,7500
,,0000,87000,per a despeses generals,0,4537639.17,0
,,0000,87010,per a despeses amb finançament afectat,0,8240387.54,0
,,0000,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,0000,91303,Préstecs entitat financera Caixa Est. Catalunya,0,0,0
,,1000,45000,Generalitat-Fons de cooperació local de Catalunya,0,0,0
,,1000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,29479.51,0
,,1000,49100,Mº Economia y Hacienda URBAN,0,0,0
,,1000,79100,Transf.de l'exterior. FONS FEDER,0,0,0
,,1300,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,0,0
,,1300,48000,Fundació INFORM. Programa SEFED,0,0,0
,,1500,46139,Diputació Barcelona.PAM 2016-2017,0,0,0
,,1500,46402,Subvenció Àrea Metropolitana de Barcelona. Transparència,0,0,0
,,1600,46100,Subvencions Diputació de Barcelona,0,10867.5,0
,,1600,46121,Diputació Barcelona. Pla biennal de sensibilització .,0,19.78,0
,,1600,46199,Diputació Barcelona. Subvencions,0,0,0
,,2000,39190,"Altres multes i sancions - comerç, consum i fires",12000,0,0
,,2000,39901,Despeses de publicitat: anuncis licitació-direcció economia,3000,0,0
,,2000,42010,"Participació municiapl en tributs de l'Estat (Man.6,25% PTE)",3274167.97,0,520813.56
,,2000,45000,Generalitat-Fons per al Foment del Turisme,6000,0,9817.43
,,2000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,148000,42752.57,0
,,2000,45030,Trans ctes cumpl conv els seus amb C.A en mat d'edució,0,0,40222.54
,,2000,45050,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,476325.92,0
,,2000,45060,Altres trans.ctes.en compli.de conv.subscrit amb C.Autonoma,0,0,0
,,2000,45103,Servei d'Ocupació de Catalunya,0,2626823.36,134400
,,2000,46107,DIBA. Integració sociolaboral persones amb malalties mentals,0,6057.73,0
,,2000,46114,Diputació de Barcelona Activitats educatives complementàries,62831.1,0,0
,,2000,46119,Subvencions Diputació de Barcelona. Oficina Tècnica Laboral,0,0,0
,,2000,46124,Diputació. Desenvolupament empresarial,0,29060,0
,,2000,46137,Diputació de Barcelona. Foment de l'ocupació,0,23784.73,0
,,2000,46141,Diputació. Reempresa,0,5500,0
,,2000,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,2000,46199,Diputació Barcelona. Subvencions,0,251974.19,0
,,2000,46400,Subvencions Àrea Metropolitana de Barcelona,150003.18,912637.99,97277.34
,,2000,46403,Àrea Metropolitana de Barcelona. Desenvolupament empresarial,0,0,0
,,2000,46502,Consell Comarcal Barcelonès. Foment Ocupació,0,2700.5,0
,,2000,48000,Fundació INFORM. Programa SEFED,0,150539.48,49709
,,2000,49000,Subvenció del Fons Social Europeu,0,42888.36,0
,,2000,49100,Subvencions de l'exterior. Fons FEDER,146194.54,51653.7,0
,,2000,49101,EDUSI - Millora sistemes sala 092 Policia Local,12500,12500,0
,,2000,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,0,500000
,,2000,79100,Subvencions de l'exterior. Fons FEDER EDUSI,4173557.14,4917568.47,0
,,2000,91300,Préstec rebut A/L P d'Ents de fora del sector públic,934492.74,0,0
,,2200,39190,"Altres multes i sancions-Comerç,Consum i Fires",0,0,9509
,,2200,46129,Diputació Barcelona. Activitats en matèria de consum,1400,0,0
,,2200,46136,Diputació de Barcelona. Dinamització Comerç Local,0,0,0
,,2200,46154,Diputació de Barcelona. Dinamització mercats municipals,0,0,0
,,2200,46199,Diputació Barcelona. Subvencions,0,0,0
,,2200,46400,AMB-implantació sistema pagament digital d'abast local,14583,0,25000
,,2400,39903,Recuperació Seguretat Social,0,39301.1,117658.47
,,2400,51801,Interessos bestretes del personal,5000,0,1721.29
,,2400,83000,Reintegrament crèdits al personal,180000,0,39593.3
,,2430,76126,Diputació. Subvenció espais cardioprotegits,0,0,0
,,2600,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,2600,76117,Diputació de Barcelona. Pla implantació Admn. Electrònica,0,0,0
,,2600,91303,Préstec inversions sistemes informació,590000,-100715.27,0
,,2700,42002,Subvenció Eleccions Generals 2019,0,0,0
