#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Obligacions reconegudes
,,1001,91201,1000000,Retribucions  Bàsiques Càrrecs Electes,736670.06,0,139569.38
,,1001,91201,1600000,Seguretat Social,192929.04,0,30596.66
,,1100,15120,2260217,Gestió i publicitat Programes subvencionats,83000,46847.68,0
,,1100,49100,2260300,Anuncis oficials,1200,0,0
,,1100,49100,2269900,Altres despeses,5500,0,0
,,1100,49100,2270600,Estudis i treballs tècnics,29000,0,9591.79
,,1100,49100,4890901,Quota CCMEUR,500,0,0
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,55256.16,0,14124.96
,,1100,92001,1100100,Retribucions Complementàries Eventual Ga,186743.84,0,38553.03
,,1100,92001,1200100,Retribució sou base funcionari A2,17254.11,0,0
,,1100,92001,1200600,Triennis,2606.46,0,0
,,1100,92001,1210000,Complement Destí  funcionaris,6350.52,0,0
,,1100,92001,1210100,Complement específic funcionaris,14835.84,0,0
,,1100,92001,1300000,Retribucions bàsiques personal laboral,35439.32,0,8772.83
,,1100,92001,1300200,Altres retribucions personal laboral,17561.28,0,2992.72
,,1100,92001,1600000,Seguretat Social,82202.64,3.3,12313.14
,,1100,92200,4660000,Transferències a altres entitats que agrupin municipis,0,0,0
,,1100,92200,4660100,Transferència a la Federació de Municipis de Catalunya,20000,0,0
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,18527.56,0,4624.95
,,1110,91202,1100100,Retribucions Complementàries Eventual Ga,46185.96,0,9538.23
,,1110,91202,1600000,Seguretat Social,14560.44,0,2637.42
,,1110,91204,4890500,Transferències als grups municipals,77700,0,19424.98
,,1120,49101,4670200,Transferències a Localret,15000,0,0
,,1120,92003,2219900,Altres Subministraments,0,0,0
,,1120,92003,2250000,Tributs estatals,0,0,0
,,1120,92003,2279900,Altres treballs realitzats altres empreses i professionals,0,0,531.19
,,1120,92003,2312001,Locomoció personal no diectiu,0,0,0
,,1120,92003,1200400,Retribució sou base funcionari C2,10650.04,0,1908.03
,,1120,92003,1200600,Triennis,1116,0,285.3
,,1120,92003,1210000,Complement Destí  funcionaris,3239.52,0,828.12
,,1120,92003,1210100,Complement específic funcionaris,7374.72,0,1885.11
,,1120,92003,1300000,Retribucions bàsiques personal laboral,178240.15,0,23933.51
,,1120,92003,1300100,Hores extraordinàries,0,0,0
,,1120,92003,1300200,Altres retribucions personal laboral,56456.16,0,11239.17
,,1120,92003,1310000,Retribucions personal Laboral eventual,70829.41,0,18391.68
,,1120,92003,1430000,Despeses per substitució,33205.44,0,14937.48
,,1120,92003,1510000,Gratificacions treballs extraordinaris,0,0,0
,,1120,92003,1600000,Seguretat Social,114879.78,0,18900.74
,,1120,92003,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,1120,92003,2030000,"Arrendament de maquinària, instal·lacions i utillatge",0,0,0
,,1120,92003,2130100,Manteniment instal.lacions,2000,65.88,0
,,1120,92003,2200000,Material d'oficina,20000,1833.64,7549.06
,,1120,92003,2200100,"Premsa, revistes, llibres i altres publicacions",33500,0,10116.95
,,1120,92003,2200200,Material informàtic,5000,0,0
,,1120,92003,2260200,Publicitat i propaganda,80700,0,11074.22
,,1120,92003,2260300,Anuncis oficials,1000,0,0
,,1120,92003,2269900,Altres despeses,6000,0,0
,,1120,92003,2270600,Estudis i treballs tècnics,20000,0,0
,,1120,92003,6400000,Despeses en inversions de caràcter immaterial,0,0,0
,,1200,91203,2210500,Productes alimentaris,0,0,0
,,1200,91203,2211000,Productes de neteja i higiene,0,0,0
,,1200,91203,2279900,Altres treballs realitzats altres empreses i professionals,0,0,0
,,1200,91203,2300001,Dietes membres òrgans de govern,0,0,0
,,1200,91203,2301001,Dietes personal directiu,0,0,0
,,1200,91203,2302001,Dietes personal no directiu,0,0,0
,,1200,91203,2310001,Locomoció membres òrgans de govern,0,0,0
,,1200,91203,2311001,Locomoció personal directiu,0,0,0
,,1200,91203,2312001,Locomoció personal no diectiu,0,0,0
,,1200,91203,1200300,Retribució sou base funcionari C1,80647.9,0,11583.06
,,1200,91203,1200600,Triennis,12593.04,0,2937.99
,,1200,91203,1210000,Complement Destí  funcionaris,25347.12,0,5475.87
,,1200,91203,1210100,Complement específic funcionaris,74910.48,0,15782.94
,,1200,91203,1210300,Altres complements funcionaris,2871.72,0,717.93
,,1200,91203,1300000,Retribucions bàsiques personal laboral,35873.85,0,7466.19
,,1200,91203,1300200,Altres retribucions personal laboral,14730.12,0,3765.36
,,1200,91203,1310000,Retribucions personal laboral eventual,11261.78,0,2507.82
,,1200,91203,1510000,Gratificacions treballs extraordinaris,0,0,398
,,1200,91203,1600000,Seguretat Social,68323.42,0,11922.61
,,1200,91203,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,1200,91203,2080000,Arrendament altre immobilitzat material,0,0,0
,,1200,91203,2219900,Altres Subministraments,0,0,0
,,1200,91203,2230000,Transports,400,0,0
,,1200,91203,2260100,Atencions protocolàries,7200,0,446.49
,,1200,91203,2260200,Publicitat i propaganda,0,0,0
,,1200,91203,2260600,"Reunions, conferències i cursos",0,0,0
,,1200,91203,2260900,Actes i exposicions,43000,0,520.3
,,1200,91203,2269900,Altres despeses,19800,0,0
,,1200,91203,2269999,Subvenció en espècie,0,0,0
,,1200,92300,2270600,Estudis i treballs tècnics,0,0,1548.8
,,1200,92400,2219900,Altres Subministraments,0,0,0
,,1200,92400,4890300,Transferències entitats,15000,0,0
,,1210,91203,1100000,Retribucions Bàsiques Eventual Gabinets,35873.76,0,8406.09
,,1210,91203,1100100,Retribucions Complementàries Eventual Ga,61084.4,0,11463.24
,,1210,91203,1200300,Retribució sou base funcionari C1,38775.2,0,6877.71
,,1210,91203,1200400,Retribució sou base funcionari C2,12519,0,1908.03
,,1210,91203,1200600,Triennis,7361.7,0,1858.62
,,1210,91203,1210000,Complement Destí  funcionaris,14637.48,0,3741.78
,,1210,91203,1210100,Complement específic funcionaris,33914.76,0,8669.31
,,1210,91203,1210300,Altres complements funcionaris,15477,0,3927.27
,,1210,91203,1300000,Retribucions bàsiques personal laboral,170152.86,0,37545.75
,,1210,91203,1300200,Altres retribucions personal laboral,19542,0,4490.13
,,1210,91203,1430000,Despeses per substitució,22600.2,0,277.57
,,1210,91203,1510000,Gratificacions treballs extraordinaris,0,0,126
,,1210,91203,1600000,Seguretat Social,132585.3,0,21048.66
,,1210,91203,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,1500,32609,2030000,"Arrendament de maquinària, instal·lacions i utillatge",0,0,0
,,1500,32609,2269900,Altres despeses-Ciutat Universitària,15000,0,0
,,1500,33701,2030000,"Arrendament de maquinària, instal·lacions i utillatge",0,0,605
,,1500,33701,2130000,"Maquinària, instal·lacions tècniques i utillatge",0,0,0
,,1500,33701,2219900,Altres Subministraments,0,0,0
,,1500,33701,2260600,"Reunions, conferències i cursos",0,0,9381.44
,,1500,33701,2279900,Altres treballs realitzats altres empreses i professionals,0,120000,0
,,1500,33701,6250000,Mobiliari,0,0,0
,,1500,33701,6260000,Equips procesos informació,0,0,0
,,1500,33701,6290000,Altres inv noves assoc al funcionam operatiu dels serv,0,0,0
,,1500,92300,2269900,Altres despeses-transparència,20000,0,1197.9
,,1500,92400,1200300,Retribucions sou base funcionari C1,0,0,3132.7
,,1500,92400,1200600,Triennis,0,0,0
,,1500,92400,1210000,Complement de destinació,0,0,647.48
,,1500,92400,1210100,Complement específic,0,0,1155.02
,,1500,92400,1300000,Retribucions bàsiques personal laboral,32397.47,0,7023.03
,,1500,92400,1300200,Altres retribucions personal laboral,3860.76,0,986.88
,,1500,92400,1430000,Despeses per substitucions,0,0,6247.5
,,1500,92400,1600000,Seguretat social,11550.36,0,1948.4
,,1500,92400,4890100,Altres transferències (beques estudis PAM),14000,0,4200
,,1500,92402,2279900,Altres treballs realitzats altres empreses i professionals,0,0,0
,,1500,92402,2260900,Actes i exposicions,8000,0,3009.05
,,1500,92402,2270100,Seguretat,0,0,0
,,1500,92402,2270600,Estudis i treballs tècnics,6000,0,6458.32
