#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1218491.05,0,1218491.05,1251052.13
,,0000,11200,Impost Béns Immobles Nar. Rústica,0,0,0,0
,,0000,11300,Impost Bens Immobles Nat. Urba,17856200,0,17856200,17543463.74
,,0000,11500,Impost Vehicles Tracc. Mecanica,4855398.93,0,4855398.93,4482802.07
,,0000,11600,Impost sobre l'increment del valor dels terrenys,1803005.3,0,1803005.3,2727310.64
,,0000,13000,Impost sobre Activitats Econòmiques Empresarials,2148073.53,0,2148073.53,1711244.21
,,0000,21000,Impost sobre el valor afegit,1648468.77,0,1648468.77,2053205.47
,,0000,22000,Impost sobre l'alcohol i begudes derivades,28700,0,28700,26272.78
,,0000,22001,Impost sobre la cervesa,9910,0,9910,9819.49
,,0000,22003,Impost sobre les labors del tabac,189150,0,189150,142591.78
,,0000,22004,Impost sobre hidrocarburs,298323.27,0,298323.27,271254.4
,,0000,22006,Impost sobre productes intermedis,680,0,680,617.37
,,0000,29000,Impost Construccions Intstal.lacions i obres,172514.19,0,172514.19,638301.19
,,0000,32501,"Expedició de documents,",82851.91,0,82851.91,55254.32
,,0000,33001,"Taxa d'estacionament de vehicles,  mobilitat reduïda",0,0,0,3114.43
,,0000,33101,Guals i reserves estacionament,577000,0,577000,586291.41
,,0000,33205,Companyies Aigua Llum Gas Tel.,861482.98,0,861482.98,1035630.92
,,0000,33501,Taules i cadires,154300,0,154300,172710.64
,,0000,33903,"Ocupació de la via pública,",461000,0,461000,428976.01
,,0000,38901,Reintegraments pressupostos tancats,0,0,0,30545.54
,,0000,39190,Multes dels serveis,147153.1,0,147153.1,148868.59
,,0000,39200,Recàrrec per declaració extemporànea sense requeriment previ,0,0,0,73257.68
,,0000,39211,Recàrrec de constrenyiment,0,0,0,-1413.67
,,0000,39903,"Imprevistos,",0,0,0,29196.66
,,0000,39917,Interessos de demora càrrec extemporani,0,0,0,3166.87
,,0000,39918,Compensació getió i recaptació Tribut Mobilitat,0,0,0,46628.39
,,0000,39922,Premi cobrança recàrrec provincial IAE,0,0,0,4003.27
,,0000,39926,Generalitat de Catalunya. Impost estades turístiques.,0,0,0,5652.15
,,0000,42010,Fons complementari de finançament,39372760.94,0,39372760.94,40302254.42
,,0000,42020,Compensació IAE,0,0,0,1561395.17
,,0000,45000,Participació en tributs de la comunitat autònoma,440000,0,440000,0
,,0000,46102,Diputació de Barcelona. Xarxa Governs Locals,2000000,0,2000000,2000000
,,0000,55002,"Concessions Administratives,",0,0,0,4410
,,0000,87000,Per a despeses generals,0,3564263.37,3564263.37,0
,,0000,87010,Per a despeses amb finançament afectat,0,6777344.44,6777344.44,0
,,0000,91301,"Préstecs rebuts mig i llarg termini fora sector públic,",0,0,0,0
,,0000,91303,"Préstecs entitat financera Caixa Est. Catalunya,",0,0,0,0
,,0000,46301,Àrea Metropolitana. Operacions Vertebradores,0,0,0,0
,,1000,39901,"Despeses de publicitat: Anuncis Licitacions,",0,0,0,0
,,1000,45002,Trans.ctes.en compliment de conv.serv soc i polt.igual,0,552470.82,552470.82,423881.21
,,1000,45021,Generalitat de Catalunya.Llei de Barris,0,0,0,0
,,1000,45050,"Generalitat de Catalunya. Convenis ocupació i desenv local,",0,0,0,0
,,1000,45080,"Altres subv.corrents de la Adm.General Generalitat Cataluny,",0,0,0,1728.28
,,1000,49100,Subvenció Iniciativa Urbana,0,477886.45,477886.45,0
,,1000,72000,Mº Administración pública - Fons Estatal Inversió Local,0,0,0,0
,,1000,75002,Transferències de Capital Generalitat de Catalunya,0,1017706.79,1017706.79,0
,,1000,75004,Generalitat de  Catalunya. Llei de Barris,0,0,0,0
,,1000,75080,"Altres transferències de capital de l'Admó. Gral. de la CA,",0,1850694.18,1850694.18,98761.97
,,1000,79100,Transf.de l'Exterior.Fons Feder,0,967852.27,967852.27,2835714.7
,,1300,39903,"Imprevistos,,",0,0,0,2577.01
,,1300,44100,Aportació Grameimpuls SA,0,0,0,0
,,1300,45002,Generalitat de Catalunya. Sub.serv.soc i pol. d'igual,0,0,0,0
,,1300,45050,Subvencions Generalitat de Catalunya,0,3942084.42,3942084.42,2743660.44
,,1300,46109,Diputació de Barcelona. Guia Turística,0,0,0,2000
,,1300,46119,Subvencions Diputació de Barcelona. Oficina Tècnica Laboral,0,38786.46,38786.46,19393.23
,,1300,46124,Diputació.Recull d'activitats suport activitat empresarial,0,1753.5,1753.5,1753.5
,,1300,46149,Xarxa de Governs Locals 2012-2015,0,2673,2673,2673
,,1300,46199,"Diputació de Barcelona. Subvencions,",0,78890.55,78890.55,0
,,1300,46400,Subvencions Àrea Metropolitana de Barcelona,0,1008773.6,1008773.6,749884.8
,,1300,46500,Consell comarcal del Barcelonès,0,0,0,33074.14
,,1300,48000,Fundació INFORM. Programa SEFED,0,120968.4,120968.4,120968.4
,,2000,39901,Despeses de publicitat: Anuncis licitacions,0,0,0,10255.65
,,2000,42000,Participació en els tributs de l'Estat,2943239.84,0,2943239.84,2923110.68
,,2000,45030,"Trans ctes cumpl conv els seus amb C.A en mat d'edució,",0,0,0,83260
,,2000,46100,Subvencions Diuputació de Barcelona,0,500000,500000,500000
,,2000,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,12627,12627,0
,,2000,46199,"Diputació de Barcelona. Subvencions,,",0,2360,2360,0
,,2000,59200,Interessos d'operacions financeres,0,0,0,0
,,2000,87000,Per a despeses generals,0,3500000,3500000,0
,,2100,39910,Gestió tribut de la mobilitat,65784.58,0,65784.58,45019.51
,,2100,52000,Rendiments bancaris,150000,0,150000,47078.31
,,2200,39200,Recàrrec per declaració extemporànea sense requerim.previ,40000,0,40000,0
,,2200,39210,Recàrrec executiva,0,0,0,-325.81
,,2200,39211,Recàrrec de constrenyiment,808000,491693.56,1299693.56,702697.9
,,2200,39300,Interessos de demora ORGT,303200,0,303200,275186.5
,,2200,39900,Costes del servei de recaptació,0,0,0,6814.42
,,2200,39917,Interessos recàrrec extemporani,9500,0,9500,0
,,2400,39901,"Despeses de publicitat: Anuncis Licitacions,,",0,0,0,0
,,2400,51000,Interessos bestretes personal,0,0,0,681.81
,,2400,51801,Interessos bestretes del personal,3600,0,3600,7883.3
,,2400,83000,Reintegre crèdits al personal,180000,0,180000,85480.32
,,2600,45002,Subvenció Generalitat Noves tecnologies,0,0,0,0
,,2600,45050,"Generalitat de Catalunya. Convenis ocupació i desenv local,,",0,0,0,19924.3
